serial_no,height,fold,temp_2023,temp_2022,temp_2021,temp_avg,Pop_500,Green_400,Ag_500,Trans_5000,Resi_100,Comm_400,Ind_1100,Cul_2500,Pub_4700,GFA_5000,BCR,SD_H,Altitude,Slope,Longitude,Latitude,Solar_radi
V02Q1940500,3.3,18.0,27.6532175926,26.8958194583,27.8695703833,27.4728691447,24365,5675,0,5419400,31225,81725,0,133300,2069325,94001500.0,33.5228004456,4.68343019485,28.5997009277,1.63811004162,127.0187487,37.56155266,496.936004639
V02Q1940527,3.0,14.0,27.3722960758,26.9004501594,27.8946424178,27.389129551,25125,15300,0,5079875,19175,136050,0,146150,2256850,94627000.0,40.7386016846,7.28519010544,24.4115009308,1.19281005859,127.0218832,37.56898584,499.415008545
V02Q1940053,3.5,10.0,27.128497575,26.4861484195,27.2800565484,26.9649008476,332,34675,0,4583925,0,167650,0,278850,1715325,85877000.0,18.8428001404,31.8197994232,29.6986999512,0.755550980568,126.9788859,37.56504075,499.121002197
V02Q1940596,3.8,8.0,26.8475078008,26.1697210351,26.9966194377,26.6712827579,5003,0,0,4847875,0,233625,0,270750,1694450,83205700.0,50.8330001831,5.47956991196,40.8158988953,1.8106700182,126.9803118,37.55904631,496.666992188
V02Q1940573,3.3,17.0,27.4628924162,26.7617713845,27.5385437441,27.2544025149,1568,14575,0,4923575,0,174950,0,205025,1768550,86941700.0,8.27159023285,0.832050025463,22.3148002625,0.266478985548,127.0054393,37.56839081,498.308013916
V02Q1940566,3.7,15.0,28.2816964286,26.6180224868,27.7449641986,27.5482277047,2663,10025,0,4706600,0,284850,0,279000,1745825,85212300.0,32.4524002075,5.20750999451,23.4685993195,1.17270004749,126.995185,37.56723424,498.427001953
V02Q1940498,4.0,4.0,27.2918617725,26.6301533343,27.385337132,27.1024507463,5265,37050,0,5157650,0,229625,0,221000,1763300,86565200.0,37.5199012756,5.6319899559,34.8176002502,1.82258999348,126.9955455,37.56078213,496.842010498
V02Q1940597,3.4,6.0,27.0957116572,26.3773038458,27.1779923857,26.8836692962,6916,92850,0,4852850,25100,116525,0,227150,1657625,81963500.0,45.695400238,4.148250103,66.9922027588,9.89737033844,126.9811609,37.55619503,478.726989746
V02Q1940554,3.5,19.0,27.2209617928,26.2607925485,27.3756997863,26.9524847092,12525,38850,0,5525200,13650,61250,0,111050,1839500,91172800.0,27.6334991455,4.50904989243,45.9775009155,5.71184015274,127.0091753,37.55728601,499.437988281
V02Q1940544,4.2,14.0,27.4084443257,26.7063137865,27.4938580247,27.2028720456,6890,17250,0,5241900,0,138400,0,156175,1708925,87691600.0,42.0772018433,3.83666992188,32.7431983948,2.64498996735,127.001153,37.56163971,493.674987793
V02Q1940438,4.0,1.0,26.9869849325,26.5795653112,27.1483497367,26.9049666601,4954,46975,0,4703575,0,138100,0,198050,1709700,84184300.0,22.5974006653,20.0797996521,36.2500991821,2.30831003189,126.9705198,37.56239638,501.239990234
V02Q1940567,3.6,1.0,27.1850209436,26.9880560643,28.0288801129,27.4006523736,2498,16825,0,4704225,0,249600,0,273900,1765300,84825600.0,60.567199707,3.91375994682,23.242099762,0.828103005886,126.9965099,37.56805562,498.752990723
V02Q1940602,3.8,4.0,26.1724420872,25.4842049,26.0333302808,25.8966590894,7722,150900,0,4936275,7100,51925,0,188900,1612075,81318500.0,0.0,0.0,106.135002136,9.84827041626,126.980559,37.55462362,493.307006836
V02Q1940608,3.7,10.0,25.5370171958,24.9823984195,25.9544882587,25.4913012913,4363,240350,0,5206175,0,46025,0,216450,1716800,84066200.0,18.2691993713,2.12132000923,96.639503479,9.15001010895,126.9859042,37.55668898,471.427001953
