serial_no,height,fold,temp_2023,temp_2022,temp_2021,temp_avg,Pop_500,Green_400,Ag_500,Trans_5000,Resi_100,Comm_400,Ind_1100,Cul_2500,Pub_4700,GFA_5000,BCR,SD_H,Altitude,Slope,Longitude,Latitude,Solar_radi
V02Q1940293,4.0,3.0,27.7879949295,26.9938466626,27.9032188876,27.5616868265,17203,25725,0,4737375,13100,153800,0,79925,822425,70421400.0,37.8005981445,4.05096006393,19.5030994415,0.577376008034,127.0484893,37.47640069,498.338012695
V02Q1940060,3.0,10.0,26.8681448413,26.2054272271,26.784100082,26.6192240501,15359,106775,5225,6040300,19850,4575,0,81175,1058075,73745000.0,14.2306003571,2.12132000923,43.5917015076,2.05613994598,127.0862339,37.48339724,492.959991455
V02Q1940079,3.4,8.0,27.538742284,26.3984424603,27.7485744194,27.2285863879,14755,83025,0,6428050,21275,10600,0,174700,1026775,88428100.0,44.8446006775,5.07445001602,20.0352993011,0.876542985439,127.0822094,37.49410245,497.868011475
V02Q1940123,3.6,12.0,26.8142835097,26.5861817503,27.3436312915,26.9146988505,25390,27200,0,6296475,9225,54600,0,130625,977300,94209400.0,13.6892004013,70.0036010742,13.4335002899,0.461941987276,127.0618427,37.49489912,499.571990967
V02Q1940246,3.0,10.0,26.192202381,25.6825740155,26.2623003694,26.0456922553,6883,163525,0,6283825,0,18425,0,194200,1093225,96830000.0,0.0,0.0,8.51333999634,3.33610010147,127.0727253,37.49937086,497.459991455
V02Q1940178,3.9,13.0,27.6400099206,26.6659638587,27.4987190009,27.2682309267,11872,22650,0,6014400,6750,89375,0,76825,1027000,99457100.0,39.8282012939,3.86190009117,16.5133991241,1.01579999924,127.0194561,37.52105313,499.165985107
V02Q1940161,3.9,11.0,28.5094257055,26.8013324022,27.6100222578,27.6402601218,7196,26775,0,6270725,3850,284350,0,51125,1604250,103646000.0,46.7462005615,10.6701002121,18.3600997925,0.37398698926,127.0374614,37.52634275,499.817993164
V02Q1940152,3.5,11.0,27.4009810406,26.7389322175,27.3842267224,27.1747133268,8323,90425,0,6328000,37050,119575,0,87575,1144175,99849000.0,41.5876998901,2.90541005135,35.762298584,3.2530400753,127.0457279,37.50653959,499.447998047
V02Q1940175,3.8,17.0,27.3228130511,26.520243915,27.3692172257,27.070758064,5326,91175,0,6557475,23075,85975,0,55275,1575450,108856000.0,43.2300987244,6.04077005386,34.0318984985,5.04940986633,127.0467992,37.52778814,499.618988037
V02Q1940149,3.8,18.0,27.3336496914,26.4365438265,27.1169444444,26.9623793208,12495,80275,0,5482950,3925,118750,0,109450,892300,84014000.0,29.7063999176,4.44706010818,18.1508998871,1.60949003696,127.044068,37.48506055,501.113006592
V02Q1940145,3.8,13.0,27.2794731041,26.3911236603,27.3135358546,26.994710873,9900,9475,0,5958150,33600,169000,0,83450,892100,96035500.0,41.3712997437,13.0383996964,45.3101005554,3.6532599926,127.0216812,37.51402419,503.252990723
V02Q1940313,3.2,16.0,26.6172519841,25.8749760425,26.4086764162,26.3003014809,9357,162900,1875,6121525,24875,17700,0,87225,1058850,75290600.0,6.89370012283,21.2131996155,36.895401001,1.15082001686,127.0874273,37.48553586,500.57699585
V02Q1940273,4.9,15.0,27.8315123457,27.0169453694,27.7087502775,27.5190693309,9529,12800,0,6273650,22475,147825,0,46675,1406425,102805000.0,34.0760002136,4.00445985794,36.3185005188,3.78604006767,127.0371336,37.51751212,495.45300293
V02Q1940063,3.6,17.0,27.4103064374,26.5810621477,27.3856182012,27.1256622621,7287,46750,0,6665125,38275,78525,0,152650,1572100,104037000.0,37.2383995056,4.70009994507,22.4512004852,4.78320980072,127.0618801,37.51606159,501.627990723
V02Q1940177,3.6,6.0,27.4452380952,26.7521497792,27.5076451481,27.2350110075,21626,0,0,6276550,32025,119275,0,173050,1147925,98552900.0,35.9275016785,2.89827990532,26.8943996429,2.75388002396,127.0539647,37.50227825,502.514007568
V02Q1940239,3.6,4.0,27.1742228836,26.5557880828,27.0272634734,26.9190914799,25978,29225,0,6315025,31800,21575,0,84325,978700,93011300.0,19.5109996796,34.3759002686,13.0918998718,1.57691001892,127.0569613,37.49344719,499.976989746
V02Q1940098,4.0,14.0,26.5877943122,25.2055347533,26.605982906,26.1331039905,9479,121425,12375,6127125,0,30025,0,48000,1198450,72457900.0,0.070547901094,0.0,26.6641998291,3.21288990974,127.1018579,37.48676489,497.355010986
V02Q1940192,3.8,8.0,26.6993242945,26.3066382537,26.9254123423,26.6437916302,10812,51050,0,6738525,23500,86875,0,142275,1652400,108819000.0,43.1833000183,6.19567012787,37.177898407,5.2049498558,127.0534516,37.52224273,498.109985352
V02Q1940724,3.7,4.0,28.4449768519,27.5758542769,27.3710457444,27.797292291,33287,10075,0,6249225,30075,42500,0,99700,967450,94783500.0,27.6637992859,21.1919994354,19.3481998444,0.927797019482,127.0513158,37.49732201,497.937988281
V02Q1940953,4.4,10.0,27.3287775573,26.4925444478,27.0794003604,26.9669074552,13189,114850,0,5893400,6725,19875,0,93750,924075,87742300.0,29.4722003937,14.1668996811,20.0972003937,1.34455001354,127.0678834,37.48903041,498.186004639
V02Q1940164,3.8,9.0,27.4118738977,26.6626459806,27.3254138685,27.1333112489,12807,114850,0,5893400,6725,19875,0,93750,924075,87742300.0,16.0412006378,2.98328995705,20.0972003937,0.648114979267,127.0679878,37.48858687,498.981994629
V02Q1940100,3.5,2.0,27.357454806,26.4832690612,27.0317665436,26.9574968036,7634,154150,3100,6487200,0,0,0,117700,1121025,83064200.0,30.0879001617,0.0,14.8333997726,0.377797007561,127.0931442,37.49497896,497.807006836
V02Q1940082,3.6,18.0,27.0097008547,26.3739252954,27.0577170669,26.8137810723,7109,99400,0,6527350,8650,7050,0,206150,1026100,87211900.0,14.1975002289,5.45612001419,18.7502002716,2.0668399334,127.0857485,37.49550759,498.007995605
V02Q1940224,3.7,18.0,26.9532716049,26.2516551427,27.0873421178,26.7640896218,11156,4900,0,6211050,0,201300,0,71975,892450,90199700.0,40.6901016235,4.87792015076,44.5733985901,3.86959004402,127.0363378,37.498641,504.07901001
V02Q1940102,3.8,8.0,26.1182407407,25.6685895316,26.0615979006,25.9494760576,10824,201125,15075,5843300,25450,0,0,78650,1013050,74317700.0,12.7702999115,5.01995992661,63.6488990784,5.78340005875,127.0809688,37.48083459,489.477996826
V02Q1940789,0.5,16.0,27.8298919753,25.4659046856,27.4240254036,26.9066073548,25454,16900,0,6598950,8850,33500,0,118875,1658000,107605000.0,23.0193996429,40.3050994873,33.5497016907,2.12968993187,127.0479951,37.51755161,496.191986084
OC3CL200022,3.7,11.0,27.1650661376,26.1425447983,26.3225606492,26.5433905284,18226,10425,0,6342275,3350,162375,0,151375,1094950,98146000.0,29.4953994751,15.2004995346,28.7117996216,1.0693500042,127.0498755,37.50309199,499.680999756
OC3CL200155,2.5,6.0,27.4650551146,26.6074390347,26.4962762238,26.856256791,9812,3500,0,5982300,0,170325,0,72600,897850,96891900.0,36.623298645,13.5369997025,23.817199707,1.97490000725,127.0208385,37.51637194,492.096984863
OC3CL200170,5.0,2.0,27.0271571869,26.6778046568,27.3850629694,27.030008271,12312,0,0,6238475,16475,135275,0,88075,999425,99978900.0,27.7567005157,4.14799976349,33.9093017578,3.53296995163,127.0312446,37.51256716,495.580993652
OC3CL200157,4.1,15.0,26.4102590388,25.7864699074,26.1956565657,26.1307951706,5883,179650,3100,6380300,0,0,0,109125,1135200,79640400.0,0.0,0.0,15.9956998825,1.25220000744,127.0945893,37.49238125,496.984985352
OC3CL200135,3.8,6.0,26.3851300705,25.5508928571,26.0756375723,26.0038868333,8440,138700,0,6325550,0,15175,0,194200,1143550,99081400.0,0.0,0.0,11.0607004166,1.33359003067,127.0708615,37.50182482,497.191009521
OC3CL200140,4.1,9.0,24.6487754375,24.1922661938,24.4246341082,24.4218919132,7923,278475,31200,5760125,0,0,0,77400,1006175,73718000.0,0.0,0.0,107.01599884,8.54156970978,127.0797096,37.47948708,485.023010254
V02Q1940321,3.1,6.0,27.3197902252,26.5934836152,27.2777481315,27.0636739906,26461,22300,0,4405600,19875,54250,0,47300,682600,57376500.0,32.489200592,3.88001990318,27.0592002869,1.48256003857,127.1463394,37.54946832,501.941986084
V02Q1940353,3.9,9.0,25.959857203,25.315476838,25.6870686567,25.6541342325,12625,174725,10675,4377575,0,0,0,45225,669625,56767600.0,8.75559043884,0.0,28.7551994324,3.73199009895,127.1525938,37.54651241,494.449005127
V02Q1940360,3.8,6.0,26.6314087302,26.0300629849,26.566794656,26.4094221237,22715,75375,0,4096900,9825,5525,0,42400,748900,53662500.0,13.904999733,28.0142993927,35.2081985474,2.87619996071,127.151357,37.5568473,498.639007568
V02Q1940355,4.2,15.0,26.6176741623,26.0173548211,26.6097976021,26.4149421952,15118,161200,0,3817675,16375,0,0,41050,717125,53513000.0,33.9543991089,1.80475997925,30.3237991333,2.17846989632,127.1642891,37.56074258,500.634002686
V02Q1940482,3.8,1.0,27.5770413614,26.9786737414,27.4382571441,27.3313240823,32811,0,0,4288825,37125,26875,0,74000,717225,59001800.0,38.7584991455,3.96723008156,23.1573009491,1.23206996918,127.1330982,37.55148976,498.851013184
V02Q1940306,4.3,20.0,27.4594609788,26.751223121,27.3982345085,27.2029728695,21031,23250,0,4613825,11975,94975,0,54950,934450,66108200.0,8.97700023651,4.02491998672,16.8533000946,0.404190003872,127.1257054,37.54244851,498.773986816
V02Q1940349,3.3,2.0,27.5698789174,26.7426252374,28.0539673444,27.4554904997,25749,7000,0,4718850,38500,89150,0,72725,844625,66763700.0,20.209400177,7.2861700058,24.3253993988,5.22364997864,127.129658,37.53976817,498.777008057
V02Q1940507,3.6,1.0,27.6618661817,26.9532252007,27.6565172019,27.4238695281,23927,5450,0,5175375,21900,62375,0,132025,1000225,75922800.0,34.7817001343,13.7439002991,16.7731990814,0.214289993048,127.1232713,37.53127747,499.720001221
V02Q1940430,3.8,5.0,28.3697081468,27.5953890091,28.190794807,28.0519639877,25339,10575,0,4797250,35700,57600,0,126425,976900,73586600.0,34.2130012512,3.43239998817,17.3507003784,0.651279985905,127.1246859,37.5358158,499.911987305
V02Q1940417,3.5,10.0,27.4316788767,26.6935203685,27.5514117133,27.2255369862,17791,2200,0,5067900,35100,52975,0,127575,842575,74478300.0,42.9160003662,4.3105301857,15.9439001083,0.29826900363,127.1324933,37.52595923,499.273010254
V02Q1940478,3.9,3.0,27.4727623457,26.6928473456,27.1473484309,27.104319374,26851,0,5900,4575275,45450,33550,0,56750,671875,63005100.0,39.7248001099,6.06976985931,24.6280994415,0.461924999952,127.1459335,37.53956346,500.308990479
V02Q1940410,3.9,8.0,27.3158686067,26.6197384406,27.3494923595,27.0950331356,26396,0,0,4815075,8100,82875,0,121975,716575,65998700.0,35.637298584,5.60867023468,24.2215995789,1.71289002895,127.1417954,37.53321895,499.230010986
V02Q1940359,4.2,2.0,26.989167769,26.4707517405,26.79835837,26.7527592932,23325,69575,0,4390900,21400,17225,0,49750,655700,57926000.0,15.2087001801,15.7559995651,23.234500885,1.12404000759,127.14731,37.54651703,496.536987305
V02Q1940354,3.7,18.0,27.6932897928,26.9802476613,27.6799717258,27.4511697266,35204,11325,0,4847875,48600,53650,0,134275,869000,70423000.0,49.0544013977,4.2866101265,19.5998001099,0.990094006062,127.1299797,37.5347172,500.191009521
V02Q1940350,3.8,15.0,27.4047619048,26.732771958,27.3967638727,27.1780992451,21613,59350,0,4216450,0,5525,0,41600,760675,54470100.0,13.7133998871,0.0,37.0561981201,2.04152011871,127.1501862,37.55481129,502.006011963
V02Q1940851,3.2,3.0,27.5804872134,26.7737571649,27.442916235,27.2657202044,35654,6325,4325,4323325,9300,41475,0,70375,853975,61582700.0,46.2535018921,10.2688999176,17.1578998566,0.52412801981,127.1282922,37.55039085,499.093994141
V02Q1940770,3.4,4.0,27.7718874644,26.8906817257,27.7272593996,27.4632761965,38249,3300,4325,4295800,17350,43100,0,69550,833100,61744700.0,37.2234992981,3.34251999855,18.5569000244,0.836062014103,127.1294778,37.5498763,499.212005615
V02Q1940142,4.5,16.0,27.4638536155,26.806198092,27.470421415,27.2468243742,35654,6325,4325,4323325,9300,41475,0,70375,853975,61582700.0,46.2535018921,10.2688999176,17.1578998566,0.155730992556,127.1278725,37.55054502,499.332000732
V02Q1940372,3.7,3.0,27.2653053351,26.7655923783,26.9806697315,27.003855815,24380,37250,60725,4259675,22400,30875,0,61775,837750,60631300.0,34.8526992798,13.8043003082,17.2217998505,0.554243981838,127.1278126,37.55406687,499.593994141
V02Q1940271,4.2,15.0,27.2899955908,26.5306434923,27.0787946775,26.9664779202,19682,56475,0,3805425,15700,12450,0,99700,732125,50917900.0,9.65200042725,0.0,21.6828994751,0.274414986372,127.1780401,37.56477838,499.867004395
V02Q1940434,3.9,20.0,26.6817548501,25.7886585945,26.1955439545,26.2219857997,9464,135750,38025,4682450,11750,34475,2450,51050,698825,64025600.0,31.4169998169,3.0,33.7211990356,1.66109001637,127.1480905,37.53219906,498.395996094
V02Q1940831,1.0,13.0,27.5352270723,26.5980963404,26.933634583,27.0223193319,154,370125,15400,3968650,0,0,0,76950,790300,59406500.0,0.0,0.0,19.3215007782,4.48089981079,127.1368127,37.56700001,492.130004883
V02Q1940798,2.9,14.0,27.7152017196,27.0383597884,27.9709416818,27.5748343966,31504,0,0,4432350,47775,16100,0,55900,707250,60066700.0,45.4216995239,5.10505008698,28.5762004852,0.825064003468,127.136812,37.54503786,500.778015137
OC3CL200090,4.6,8.0,27.5397572315,26.352550744,26.8530362385,26.915114738,20910,2200,0,4876275,0,27275,0,129925,776750,71446600.0,23.0788002014,5.0,17.6149997711,1.68912994862,127.1373889,37.52871449,498.714996338
OC3CL200091,4.8,20.0,26.2073522928,24.4990475625,25.889816079,25.5320719781,16423,55000,27725,3716575,19025,32725,9050,43500,647175,51358500.0,31.742099762,3.76272988319,31.2432003021,4.21898984909,127.170907,37.54855912,499.766998291
OC3CL200093,4.3,9.0,27.095688933,26.7856831276,26.4235844865,26.768318849,34024,11325,0,4649625,34550,62250,0,95925,715075,65637600.0,23.2675991058,25.6737995148,18.9246997833,1.2899800539,127.134581,37.53821966,500.670013428
OC3CL200097,4.7,18.0,26.538422619,25.2542241724,26.0674970323,25.9533812746,31355,0,0,4482275,28150,60650,0,49325,654850,61989500.0,43.4541015625,6.95474004745,22.5037994385,0.707383990288,127.1437411,37.5423736,499.04598999
OC3CL200098,4.8,8.0,26.3673126102,25.3360505698,25.6630326772,25.7887986191,10638,176975,16400,4221225,0,3100,0,43925,688100,54327900.0,16.7572994232,0.0,37.4803009033,4.49217987061,127.1579314,37.54961964,501.537994385
OC3CL200099,4.4,14.0,27.0265542328,25.0726721273,26.6263395709,26.2418553103,31090,4125,0,5005150,33600,32600,0,127500,924025,73402800.0,39.9958992004,3.75191998482,16.5323009491,0.423083990812,127.1284073,37.53062449,499.738006592
OC3CL200103,4.6,6.0,26.5678428131,25.6610673586,25.7510127989,25.9933076568,20668,41825,17675,4488850,15450,10025,2450,46925,660850,61368800.0,6.10231018066,38.1837997437,30.7614994049,1.83642995358,127.1482071,37.54049414,500.261993408
OC3CL200105,4.4,20.0,27.6301785714,26.7509913286,26.3152630741,26.8988109914,10997,53525,47825,3663925,12450,65375,23250,45575,633275,51327500.0,42.5620994568,3.32472991943,26.9498996735,3.3522400856,127.1726824,37.54771228,499.725006104
OC3CL200106,4.4,20.0,27.2963436949,26.2945193325,26.8525997691,26.8144875988,31940,0,0,4883900,24150,41275,0,131350,809500,70945800.0,40.8543014526,5.12867021561,16.2994003296,0.613642990589,127.1323931,37.53312245,500.089996338
OC3CL200081,4.7,4.0,26.5381999559,25.537288275,26.8377711139,26.3044197816,26311,23250,0,4503400,23350,26675,0,73525,805575,64649700.0,10.9502000809,6.50384998322,17.1993999481,0.0641624033451,127.1275513,37.54514714,499.509002686
OC3CL200108,4.4,14.0,26.7710780423,25.6045056641,26.0064941077,26.1273592714,11038,123075,3550,3875250,11275,8825,0,42400,725200,53605600.0,20.0676002502,3.59166002274,29.424200058,2.19249010086,127.157431,37.56062598,500.292999268
OC3CL200060,4.1,15.0,25.0877094356,24.4568893298,24.7192668404,24.7546218686,535,227725,77525,4795800,0,6375,59375,121200,702475,71049700.0,0.0,0.0,37.1413002014,3.8418700695,127.1455199,37.52221023,499.375
OC3CL200083,4.0,20.0,25.9748974868,25.1553797399,25.3699777691,25.5000849986,6844,210550,39000,4628800,0,19600,2450,51050,686500,63798400.0,4.52309989929,3.0,39.6279983521,4.89170980453,127.1496707,37.53182933,492.692993164
OC3CL200117,4.4,10.0,26.1978133903,25.0492298442,25.4859877622,25.5776769989,10343,56200,17075,3673850,10000,28150,9225,97450,601575,49924300.0,0.0,0.0,26.7460002899,2.79443001747,127.1775763,37.55087372,500.278991699
OC3CL200084,4.4,17.0,27.1196379392,26.1305838914,26.7771621665,26.6757946657,18297,104250,0,4496050,33275,17025,0,78550,945575,65232700.0,38.1474990845,4.44292020798,16.6791992188,0.49322399497,127.12371,37.54588985,499.415985107
OC3CL200114,4.7,9.0,26.6448694207,26.6653890425,26.2328664391,26.5143749675,25598,27100,0,4420450,15075,39025,0,68425,893975,63575200.0,30.4298992157,5.0323600769,16.8090991974,0.155626997352,127.1261418,37.54799097,499.317993164
OC3CL200074,4.8,5.0,27.3664273419,26.3532476089,26.6961597276,26.8052782261,30551,0,0,4376025,22700,39300,0,45075,661225,59886400.0,40.9765014648,6.19677019119,22.0986003876,1.0673199892,127.1430179,37.54626753,500.723999023
OC3CL200070,4.4,6.0,26.4185383598,25.6153200041,26.4294638155,26.1544407265,14697,110150,0,5453950,7500,56225,0,142975,1072275,77497900.0,11.2010002136,16.5226993561,11.768699646,0.831692993641,127.121662,37.5272027,499.738006592
OC3CL200205,3.9,18.0,27.1410185185,25.7754594017,26.1982477553,26.3715752252,30324,11325,0,4808325,14150,93575,0,117375,884900,69468500.0,5.28644990921,12.7278995514,25.0251998901,1.62452995777,127.1287361,37.53677728,500.919006348
OC3CL200071,4.2,19.0,26.7526521164,25.9723077771,26.3098745467,26.3449448134,16448,106575,0,3799525,19950,0,0,97725,713150,53008800.0,16.861000061,12.2124004364,21.5063991547,0.663273990154,127.1708168,37.55941343,500.071990967
OC3CL200158,4.3,20.0,26.5416203704,25.8119634166,26.2313023936,26.1949620602,2900,116025,37700,5173575,0,0,20525,125450,878275,73323200.0,0.322825014591,0.0,30.2716999054,2.50297999382,127.1393182,37.51939359,500.630004883
V02Q1940330,2.9,4.0,27.17797113,26.6955213511,27.0106214657,26.9613713156,23772,14525,0,2909300,24250,16125,0,46700,1488450,59011900.0,49.1876983643,3.08011007309,49.0093002319,2.19119000435,127.0193507,37.62778821,497.915985107
V02Q1940160,2.6,18.0,26.3812533069,25.6221414928,26.2756812246,26.0930253414,15937,51525,3025,2188250,36575,8650,0,33925,986600,43253100.0,38.6519012451,3.98752999306,43.0476989746,1.40998005867,127.0124561,37.64791875,498.894012451
V02Q1940314,3.6,9.0,27.1386926808,26.9781762682,27.4036352922,27.1735014137,26941,15675,0,3151975,42100,7500,0,57500,1736375,68426700.0,51.7910003662,2.99727988243,42.4062995911,1.50855004787,127.0228038,37.61856124,499.226013184
V02Q1940207,3.4,16.0,26.1055566578,25.6180975891,26.4330968491,26.0522503654,32681,58575,0,2660575,16950,0,0,55875,1662650,61680100.0,28.7371997833,4.58258008957,91.7591018677,6.4836602211,127.0152725,37.61707714,489.153015137
V02Q1940431,3.2,8.0,27.3973390653,26.865279728,27.894255752,27.3856248484,22140,23800,2475,3517500,14625,7550,9525,106725,1584525,66022000.0,42.4025993347,3.46409988403,28.5235996246,0.358482986689,127.0339636,37.63638945,500.136993408
V02Q1940394,3.7,15.0,26.9668913648,26.7603759512,27.4166442739,27.04797053,17305,91950,0,3696400,7550,0,0,99250,1809750,70604600.0,16.3787994385,7.88306999207,27.2541007996,0.559695005417,127.0380993,37.63213319,499.059997559
V02Q1940414,3.0,7.0,26.413712522,25.8774362366,26.5468151062,26.2793212883,16517,137050,0,4158850,26775,4275,0,104575,2048425,78481300.0,13.4891996384,15.178899765,24.2565002441,0.290437996387,127.0461778,37.62596558,498.976013184
V02Q1940386,3.2,2.0,27.3814825838,26.84775446,27.6592494658,27.2961621699,20570,10975,0,3763950,41700,9950,0,58575,2052175,78076800.0,43.3041000366,3.6260099411,38.8241996765,1.83812999725,127.0341603,37.61589809,500.632995605
V02Q1940429,3.4,12.0,26.1216027337,25.5218715698,26.2676017116,25.9703586717,19035,31975,0,2244700,29925,20825,0,34725,1009375,46206400.0,13.2734003067,10.0481004715,57.3590011597,5.82175016403,127.0110328,37.64201094,499.386993408
V02Q1940378,2.8,4.0,26.8223467813,26.91895192,27.0238396249,26.9217127754,21973,0,0,2711225,35850,6600,0,44775,1290625,55604000.0,47.3656005859,4.33706998825,47.8185997009,1.95564997196,127.016796,37.63115555,499.108001709
V02Q1940300,3.6,12.0,27.4080842152,26.9462544015,27.3730546383,27.2424644183,26359,16900,0,2784350,24400,21875,0,61625,1197350,52710600.0,20.5268993378,9.43095016479,34.7099990845,0.752560973167,127.0194517,37.64378512,499.32598877
V02Q1940409,2.7,19.0,26.9903119489,26.2126937414,27.0555759518,26.7528605474,23143,0,0,3054375,7475,92275,0,71600,1357025,58088600.0,47.5197982788,8.67506980896,32.3754997253,0.209380999207,127.0237698,37.63809491,499.618011475
V02Q1940137,2.7,9.0,26.7219190917,25.9268787308,26.7603579599,26.4697185942,18012,77875,0,3354100,6850,43850,0,68925,1722175,66869600.0,42.0009994507,6.92819976807,48.9683990479,3.31558990479,127.0271506,37.62731949,502.04901123
V02Q1940107,3.8,18.0,26.4582903439,25.9282712658,26.5202545294,26.3022720464,28518,95800,0,2307100,20975,0,0,57925,1565450,56394400.0,28.3885993958,15.2560997009,93.4506988525,9.06227970123,127.0123532,37.62077412,504.541992188
V02Q1940340,3.4,9.0,27.4142989418,27.109795806,28.0067962747,27.5102970075,22241,30775,0,3414325,19550,52825,0,57700,1798775,68069100.0,45.4129981995,6.51232004166,42.2636985779,1.81235003471,127.027215,37.6255552,502.233001709
V02Q1940253,3.6,11.0,25.453452381,25.611450571,25.3163698724,25.4604242748,7664,186550,8875,2020475,3325,8800,0,28175,875900,38710600.0,34.0634994507,2.88345003128,46.9090003967,1.08569002151,127.0112019,37.65390832,500.794006348
V02Q1940949,3.3,6.0,27.586856261,27.0952395876,27.891599527,27.5245651252,20213,0,0,3144925,14275,81550,0,48875,1527675,60947500.0,62.7529983521,2.87934994698,37.9590988159,0.934575974941,127.0226279,37.6303757,499.782012939
V02Q1940746,3.3,19.0,27.2316402116,26.6880652218,27.2221127137,27.0472727157,21661,0,0,3043650,42150,99650,0,49375,1397625,59059100.0,47.4227981567,3.67423009872,39.4281997681,1.62776994705,127.021742,37.6321897,499.683013916
V02Q1940448,3.6,16.0,27.7919102734,27.3761376818,28.2232207492,27.7970895681,19762,15700,0,3182100,7900,77850,0,60625,1581675,61408100.0,62.7529983521,4.29330015182,36.9925994873,1.06204998493,127.0235503,37.63075938,499.763000488
V02Q1940712,2.0,16.0,26.3252480159,26.2397942053,26.4206854874,26.3285759028,15937,51525,3025,2188250,36575,8650,0,32100,947925,43253100.0,33.2224006653,3.98752999306,45.0003013611,1.77039003372,127.011898,37.64792279,498.894012451
V02Q1940477,2.7,16.0,26.5070345569,25.120157678,25.6272193162,25.751470517,7013,183300,3250,1897575,32350,12050,0,27925,683950,32461600.0,39.6528015137,4.83761978149,77.6391983032,3.28239011765,127.0110858,37.6620208,498.528015137
V02Q1940823,4.2,16.0,27.1183388448,26.5640928978,27.3364246363,27.0062854597,26359,0,0,2819600,36550,33325,0,62900,1246625,54993100.0,41.3214988708,3.16893005371,40.7280006409,0.947929024696,127.0181629,37.63506161,499.243988037
V02Q1940763,3.6,12.0,27.0966435185,26.4752370777,27.2799158095,26.9505988019,17199,219450,0,3742325,46275,0,0,68850,1877775,72963500.0,56.5009002686,2.78456997871,92.6440963745,10.0186004639,127.0346233,37.62659207,498.74899292
OC3CL200134,3.4,13.0,27.794981261,27.0410636277,26.726580603,27.1875418306,21239,0,0,3357275,41050,41375,9525,84775,1498450,63019800.0,52.0097007751,6.36874008179,28.888299942,0.219104006886,127.0291526,37.63736615,499.959991455
OC3CL200129,3.1,14.0,26.2957242186,25.0896432811,25.5841631594,25.6565102197,17303,167025,0,4243200,6525,5850,0,84500,2157475,80810300.0,11.2616996765,4.46413993835,23.9944992065,4.57029008865,127.0460579,37.62331968,498.311004639
OC3CL200104,3.3,17.0,25.2121213624,27.4447853921,28.665722314,27.1075430228,25699,10650,0,2945925,28600,42400,0,52775,1251300,55813700.0,49.0325012207,3.53902006149,33.7986984253,0.597724974155,127.021637,37.64061679,500.161987305
V02Q1940114,4.1,3.0,27.2795109212,26.5842502636,27.2392525299,27.0343379049,15555,18750,0,7258450,16575,81500,82925,42350,1188675,48630700.0,30.6280994415,4.75277996063,10.5854997635,1.04030001163,126.8427325,37.56929679,500.446990967
V02Q1940066,3.3,2.0,27.4701471985,26.7219922285,27.42566505,27.2059348256,17591,14725,0,7165725,3475,48725,82925,44875,1236975,53016900.0,15.195599556,0.0,9.97908973694,0.357805997133,126.8475165,37.56721931,500.066009521
V02Q1940130,3.5,1.0,26.6105095348,26.3682758888,27.2155025684,26.7314293307,22380,27075,0,6244875,3275,59750,0,50425,1426600,70317600.0,28.0898990631,0.0,10.123000145,0.388108998537,126.8596643,37.56124878,499.600006104
V02Q1940163,3.8,19.0,27.2187511871,26.5989178029,27.4038830383,27.0738506761,11842,51200,2175,6610175,35400,52300,0,33775,1126300,43010000.0,41.7825012207,4.49723005295,13.0633001328,0.312965005636,126.8098556,37.55938828,499.67300415
V02Q1940104,3.7,15.0,27.4684314374,26.7152063985,27.4439984167,27.2092120842,21893,66700,0,6435725,32025,107775,0,52650,1427575,74788900.0,42.2527008057,6.52596998215,15.1851997375,2.64168000221,126.858558,37.55515562,495.464996338
V02Q1940180,3.3,7.0,26.0134347443,25.6589859061,25.9325732215,25.8683312906,26336,107550,0,6106575,18075,22600,0,87850,1034450,89775400.0,24.3388996124,10.9987001419,20.1693992615,11.2961997986,126.8628336,37.53803771,495.544006348
V02Q1940166,4.0,11.0,26.965632716,26.3519475124,27.0405116643,26.7860306309,19350,24850,0,7123300,13750,31750,20775,48525,1370750,63782100.0,32.439201355,6.24499988556,9.63206005096,0.300514012575,126.849018,37.55785223,498.808013916
V02Q1940124,3.6,2.0,27.6161970899,26.3848747395,27.2782998252,27.0931238849,19140,63625,11300,6846075,23025,13900,0,58075,1221325,58708900.0,41.0399017334,4.69345998764,9.71805953979,1.0542999506,126.8325758,37.55338226,497.868011475
V02Q1940105,3.5,1.0,27.230674264,26.5204581067,27.3563166386,27.0358163364,24316,1875,0,6806425,17400,53325,0,37500,1129950,33329400.0,44.4057998657,8.58545017242,8.61905002594,0.472777992487,126.8151904,37.57287575,499.532989502
V02Q1940125,2.9,11.0,27.6279368471,26.7025041779,27.7860963419,27.3721791223,13569,61750,0,6745825,8675,64225,0,43575,1218325,40348200.0,52.4472999573,9.91088008881,12.1208000183,0.878947019577,126.8086245,37.56267922,498.87701416
V02Q1940069,3.6,20.0,27.1952888007,26.4476876441,27.2388967463,26.960624397,30605,2800,0,6115825,32400,53150,3975,105925,1313475,87433200.0,26.7968006134,3.48875999451,21.8553009033,2.18492007256,126.8702252,37.54980487,499.617004395
V02Q1940062,3.5,9.0,26.4175253527,25.8020216743,26.6542123694,26.2912531322,27435,139050,0,7016600,9425,23750,0,43225,1347500,65055800.0,30.4216003418,10.3028001785,53.493598938,8.52476024628,126.8434758,37.54882399,507.658996582
